PWSID,SYSTEMNAME,PLANTNUMBER,PLANTNAME,OBJECTIVEID,PROCESSID,PROCESSOBJECTIVEDESC
1030896,CASA DEL RIO,1,PANAMA CITY,B,02,DISINFECT/HYPOCHLORIN
1034011,CYPRESS COURT OFFICE COMPLEX,1,CYPRESS COURT,B,02,DISINFECT/HYPOCHLORIN
1034016,"BAYSIDE UTILITY SERVICES, INC.",1,NO PLANT,A,,NO TRTMT
1034016,"BAYSIDE UTILITY SERVICES, INC.",1,NO PLANT,C,13,PART-RMVL/SLOW SAND FILTR
1034032,A H & S OFFICE COMPLEX,1,A H & S OFFICE COMPLEX,B,02,DISINFECT/HYPOCHLORIN
1034038,HOUSE OF SEAFOOD RESTAURANT,1,LYNN HAVEN,B,02,DISINFECT/HYPOCHLORIN
1034040,TYNDALL AFB NEW POL,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034041,TYNDALL AFB AMMO STORAGE,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034042,DERBY WOODS SUBDIVISION,1,PLANT #1,A,,NO TRTMT
1034043,J. L.'S BAR-B-QUE,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034044,GARNER'S FOOD MART,1,WELL #1,A,,NO TRTMT
1034045,LONGHORN CAFE,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034046,77 GAS MART,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034047,FOR KIDS ONLY,1,WELL #1,A,,NO TRTMT
1034048,WILLOW WOOD MOBILE HOME PARK,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034048,WILLOW WOOD MOBILE HOME PARK,2,WELL #2,B,02,DISINFECT/HYPOCHLORIN
1034049,TERRY'S PLACE,1,PLANT #1,A,,NO TRTMT
1034050,MR. B'S RESTAURANT,1,WELL #1,A,,NO TRTMT
1034051,HARDERS PARK WATER SYSTEM,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034052,CONRAD'S MOBILE HOME PARK,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034053,CITY SPORTS OF FLORIDA,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034054,DEER HAVEN PARK,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034055,THE RESTAURANT,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034056,EXPRESS LANE,1,WELL #1,A,,NO TRTMT
1034057,LISENBY FOOD MART,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034058,EXPRESS LANE #62,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034059,"MARKET PLACE, THE",1,WELL #1,A,,NO TRTMT
1034060,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034061,CATO'S SEAFOOD MARKET,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034062,MR. MART #13,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034063,M & M MARKET #3,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034064,1ST BAP. CH. BAYOU GEO. DAY CR,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034065,BAYOU GEORGE SUPERMARKET,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034066,BAYOU GEORGE HEAD START,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034067,PETRO MART,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034068,FIRST STOP SOUTHERN EXPRESS,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034069,231 PLAZA,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034070,PITTS TRAILER PARK,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034071,U.S. NATIONAL MARINE FISHERIES,1,WELLS NO. 1 & 2,B,01,DISINFECT/GASEOUS CHLORIN
1034072,WEST BAY ONE STOP,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034073,THE BAYOU BUSINESS CENTER,1,WELL #1,A,,NO TRTMT
1034074,"ALWAYS STOP, LLC",1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034076,ARNONE'S BAY VIEW RV PARK,1,WELL #1,A,,NO TRTMT
1034077,SILVER FLAG (TYNDALL AFB),1,PLANT #1,B,01,DISINFECT/GASEOUS CHLORIN
1034077,SILVER FLAG (TYNDALL AFB),1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034078,SOUTHPORT ASSEMBLY OF GOD,1,WELL#1,A,,NO TRTMT
1034079,WATSON BAYOU MARINA,1,WELL NO. 1,A,,NO TRTMT
1034080,DANNY'S FOOD STORE,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034081,"GULF COAST ELECTRIC CO-OP, INC",1,WELL NO. 1,B,02,DISINFECT/HYPOCHLORIN
1034082,PENNY'S OYSTER BAR & RESTAURANT,1,WELL NO. 1,B,02,DISINFECT/HYPOCHLORIN
1034083,BARTA'S MART,1,WELL NO. 1,A,,NO TRTMT
1034084,DIXIE DANDY,1,WELL NO. 1,A,,NO TRTMT
1034085,CITGO GAS STATION-(OIL SOUTH),1,WELL #1,A,,NO TRTMT
1034086,M & M MARKET #5 (HOBO PANTRY #14),1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034087,HOBO PANTRY FOOD STORE #4,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034088,BIG BUCK FOOD STORE #3,1,WELL#1,B,02,DISINFECT/HYPOCHLORIN
1034089,RITZ FOOD STORE #25,1,WELL NO. 1,B,02,DISINFECT/HYPOCHLORIN
1034090,COUNTRY FOLKS CAFE,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034092,FL FISH & WILDLIFE CONSERV. COMMISSION,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034093,JAMALO'S RV PARK,1,WELL NO. 1,A,,NO TRTMT
1034094,LIGHTHOUSE MARINA,1,PASSPORT MARINA,B,02,DISINFECT/HYPOCHLORIN
1034095,SKOOTERS #4,1,WELL#1,B,02,DISINFECT/HYPOCHLORIN
1034096,GARNER'S SUPERMARKET,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034097,TRIANGLE CONSTRUCTION,1,WELL NO. 1,B,01,DISINFECT/GASEOUS CHLORIN
1034098,NORTH BAY LEARNING CENTER,1,WELL #1,B,01,DISINFECT/GASEOUS CHLORIN
1034099,NORTH BAY ANIMAL HOSPITAL,1,WELL #1,A,,NO TRTMT
1034100,"TEK DISTRIBUTORS,INC.",1,WELL #1,A,,NO TRTMT
1034101,ADVANCED EYE CARE CENTER,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034102,CLEO'S BAR,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034103,EXPRESS LANE #42,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034104,PARAMORE PERIODONTAL OFFICE,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034105,PICK-A-PAIR,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034106,STACEY'S SWINGERS DAY CARE,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034107,TYNDALL AIR FORCE BASE,1,WELL #10,B,02,DISINFECT/HYPOCHLORIN
1034108,GYMNASTICS PLUS,1,WELL NO.1,A,,NO TRTMT
1034109,FULL SCALE DRONE (TYNDALL AFB),1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034110,AMMO AREA - TYNDALL AFB,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034111,HARVEST WORSHIP CENTER,1,WELL NO.1,A,,NO TRTMT
1034112,COUNTRY MART,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1034113,CHILD WORLD LEARNING CENTER,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1034114,PINE LAKE RV PARK,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034116,EARL'S PLACE,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1034117,HITCHING POST,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1034118,JOHN MULRENNAN RESEARCH LAB,1,JOHN MULRENNAN RESEARCH LAB,A,,NO TRTMT
1034119,DEER POINT LAKE ASSEMBLY OF GOD,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1034120,KEYHOLE TAVERN,1,WELL NO.1,A,,NO TRTMT
1034121,BOON DOCK RESTAURANT,1,CHLORINATOR,B,02,DISINFECT/HYPOCHLORIN
1034123,NORTH BAY CENTER OF GULF COAST COM. COLL,1,PLANT,B,02,DISINFECT/HYPOCHLORIN
1034124,JENKS AVENUE CHURCH OF CHRIST,1,PLANT,A,,NO TRTMT
1034125,GREASE PRO,1,PLANT,B,02,DISINFECT/HYPOCHLORIN
1034126,HAPPY STORE 522,1,PLANT-PERMIT# 0127069-001-WC/3,B,02,DISINFECT/HYPOCHLORIN
1034127,ROTTEN RALPH BAR AND LOUNGE,1,WELL NO.1,A,,NO TRTMT
1034128,CAHALL'S DELI,1,WELL NO. 1,B,02,DISINFECT/HYPOCHLORIN
1034129,DR. BOBBI D. BAKER WATER SYST.,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1034130,E-Z SERVE STORE #4017,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1034131,SYLVIA'S GROCERY,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034132,ASIAN WOK SEAFOOD RESTAURANT,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1034133,CHIODOS 231 EXPRESS MARKET,1,PLANT NO. 1,B,02,DISINFECT/HYPOCHLORIN
1034134,TC'S TAVERN WATER SYSTEM,1,BOZY DRIVE WATER PLANT,B,02,DISINFECT/HYPOCHLORIN
1034135,SOUTHPORT WATER SYSTEM,1,SOUTHPORT WATER SYSTEM,B,01,DISINFECT/GASEOUS CHLORIN
1034136,QUICK STOP #8,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034137,DEANE BOZEMAN LEARNING CENTER,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034138,BAY BEHAVIORAL HOPE PROGRAM,3,WELL NO.2,B,02,DISINFECT/HYPOCHLORIN
1034139,BAYOU GEORGE RECREATIONAL FACILITY,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034142,FRED'S BOGUS SYSTEM FOR 9I INSERT TEST I,1,FRED BOGUS 9I TEST PLANT,D,18,CORR-CTRL/SEQUESTATION
1034143,FOUNTAIN YOUNGSTOWN RECREATION COMPLEX,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034147,FRANKIE D'S PIZZA (AKA LITTLE BEARS),1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034149,EASTERN SHIPBUILDING,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034149,EASTERN SHIPBUILDING,1,PLANT 1,H,25,SOFTENING/ION EXCHANGE
1034149,EASTERN SHIPBUILDING,1,PLANT 1,H,26,SOFTENING/REVERSE OSMOSIS
1034151,PRECIOUS MEMORIES DAYCARE,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034152,EXPRESS LANE #209 - SOUTHPORT,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034164,BUCKS PIGGLY WIGGLY EXPRESS,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034170,DOLLAR GENERAL #15344 (FOUNTAIN),1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034171,DOLLAR GENERAL #15492 (SOUTHPORT),1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1034172,SANDHILLS SHRIMP COMPANY,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1034173,PANCARE COMMUNITY HEALTH CENTER,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1070008,AIRPORT MOTEL,1,BLOUNTSTOWN,B,02,DISINFECT/HYPOCHLORIN
1070014,"ALTHA, TOWN OF WATER SYSTEM",1,ALTHA-WELLS 1 &2,B,02,DISINFECT/HYPOCHLORIN
1070014,"ALTHA, TOWN OF WATER SYSTEM",2,ALTHA WELL 3,B,02,DISINFECT/HYPOCHLORIN
1070095,BURGER SHAKE RESTAURANT,1,BLOUNTSTOWN,B,02,DISINFECT/HYPOCHLORIN
1070116,CARR  SCHOOL,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1070584,SAM B. ATKINS PARK,1,SAM B. ATKINS,B,02,DISINFECT/HYPOCHLORIN
1070685,"BLOUNTSTOWN, CITY OF",1,PLANT #1,B,01,DISINFECT/GASEOUS CHLORIN
1070685,"BLOUNTSTOWN, CITY OF",1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1070685,"BLOUNTSTOWN, CITY OF",1,PLANT #1,E,20,T-O CTRL/AERATION
1070685,"BLOUNTSTOWN, CITY OF",2,PLANT #2,B,01,DISINFECT/GASEOUS CHLORIN
1070685,"BLOUNTSTOWN, CITY OF",2,PLANT #2,B,02,DISINFECT/HYPOCHLORIN
1070685,"BLOUNTSTOWN, CITY OF",2,PLANT #2,E,20,T-O CTRL/AERATION
1070685,"BLOUNTSTOWN, CITY OF",3,PLANT #3,B,01,DISINFECT/GASEOUS CHLORIN
1070685,"BLOUNTSTOWN, CITY OF",3,PLANT #3,B,02,DISINFECT/HYPOCHLORIN
1070685,"BLOUNTSTOWN, CITY OF",3,PLANT #3,E,20,T-O CTRL/AERATION
1074000,DEPT. OF HEALTH & REHAB. SERV.,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1074004,MJ'S DINER,1,VANEISSA'S FAMILY RESTAURANT,B,02,DISINFECT/HYPOCHLORIN
1074005,"OGLESBY PLANT LAB., INC.",1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1074006,BLISS FAST FOODS,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1074007,HIDDEN ACRES MHP,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1074008,HIDDEN CREEK MOBILE HOME COMM.,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1074008,HIDDEN CREEK MOBILE HOME COMM.,2,PLANT FOR WELL 2,B,01,DISINFECT/GASEOUS CHLORIN
1074009,SEMINOLE RESTAURANT,1,WELL NO. 1,B,02,DISINFECT/HYPOCHLORIN
1074010,FAIRCLOTH MOBILE HOME PARK,1,WELL #1,A,,NO TRTMT
1074011,J. CARL'S ONE-STOP,1,WELL#1,A,,NO TRTMT
1074012,FLOWERS GROCERY,1,WELL #1,A,,NO TRTMT
1074013,WACO STORE #29  (QUICK STOP #12),1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1074014,CALHOUN CTY. CAFE/CAL-CO FINA,1,WELL #1,A,,NO TRTMT
1074015,SHELTON TRUCKING LLC,1,"SHELTON TRUCKING SERVICE,INC.",B,02,DISINFECT/HYPOCHLORIN
1074016,MINNIE LEE'S RESTAURANT,1,WELL NO. 1,B,01,DISINFECT/GASEOUS CHLORIN
1074017,BLOUNTSTOWN BUSINESS POINTE,1,WELL #1,B,02,DISINFECT/HYPOCHLORIN
1074018,HARTFORD FARMS INC.,1,WELL #1,A,,NO TRTMT
1074019,SHELTON'S STORE,1,SHELTON'S STORE,A,,NO TRTMT
1074019,SHELTON'S STORE,1,SHELTON'S STORE,B,02,DISINFECT/HYPOCHLORIN
1074020,APALACHEE RIVER BASIN AGR.PARK,1,WELL NO.1,B,02,DISINFECT/HYPOCHLORIN
1074021,KIDS' KINGDOM DAYCARE,1,CHLORINATION PLANT,B,02,DISINFECT/HYPOCHLORIN
1074033,MOE'S GAS AND DIESEL,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1074034,DOLLAR GENERAL - CLARKSVILLE - #20465,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1170085,BRATT-DAVISVILLE WATER SYSTEM,1,PLANT 1 --HWY 99,B,02,DISINFECT/HYPOCHLORIN
1170085,BRATT-DAVISVILLE WATER SYSTEM,1,PLANT 1 --HWY 99,D,19,CORR-CTRL/PH ADJUSTMENT
1170085,BRATT-DAVISVILLE WATER SYSTEM,1,PLANT 1 --HWY 99,D,36,CORR-CTRL/CORROSION INHIB
1170085,BRATT-DAVISVILLE WATER SYSTEM,2,PLANT 2 PINVILLE AND JAKES,B,02,DISINFECT/HYPOCHLORIN
1170085,BRATT-DAVISVILLE WATER SYSTEM,2,PLANT 2 PINVILLE AND JAKES,D,19,CORR-CTRL/PH ADJUSTMENT
1170085,BRATT-DAVISVILLE WATER SYSTEM,2,PLANT 2 PINVILLE AND JAKES,D,36,CORR-CTRL/CORROSION INHIB
1170085,BRATT-DAVISVILLE WATER SYSTEM,3,PLANT 3 --STEEL ROAD,B,01,DISINFECT/GASEOUS CHLORIN
1170085,BRATT-DAVISVILLE WATER SYSTEM,3,PLANT 3 --STEEL ROAD,D,19,CORR-CTRL/PH ADJUSTMENT
1170085,BRATT-DAVISVILLE WATER SYSTEM,3,PLANT 3 --STEEL ROAD,D,36,CORR-CTRL/CORROSION INHIB
1170126,CENTRAL WATER WORKS,1,PLANT 1,B,02,DISINFECT/HYPOCHLORIN
1170126,CENTRAL WATER WORKS,1,PLANT 1,D,19,CORR-CTRL/PH ADJUSTMENT
1170126,CENTRAL WATER WORKS,2,PLANT 2,B,02,DISINFECT/HYPOCHLORIN
1170126,CENTRAL WATER WORKS,2,PLANT 2,D,19,CORR-CTRL/PH ADJUSTMENT
1170126,CENTRAL WATER WORKS,3,PLANT 3 -KILLAM ROAD,B,02,DISINFECT/HYPOCHLORIN
1170126,CENTRAL WATER WORKS,3,PLANT 3 -KILLAM ROAD,D,19,CORR-CTRL/PH ADJUSTMENT
1170126,CENTRAL WATER WORKS,4,PLANT 4,B,02,DISINFECT/HYPOCHLORIN
1170126,CENTRAL WATER WORKS,4,PLANT 4,Z,19,OTHER/PH ADJUSTMENT
1170168,COTTAGE HILL WATER WORKS,1,PLANT FOR WELL 1 (REMOVED),B,02,DISINFECT/HYPOCHLORIN
1170168,COTTAGE HILL WATER WORKS,1,PLANT FOR WELL 1 (REMOVED),Z,19,OTHER/PH ADJUSTMENT
1170168,COTTAGE HILL WATER WORKS,2,PLANT FOR WELL 2 (ABANDONED),B,01,DISINFECT/GASEOUS CHLORIN
1170168,COTTAGE HILL WATER WORKS,2,PLANT FOR WELL 2 (ABANDONED),Z,19,OTHER/PH ADJUSTMENT
1170168,COTTAGE HILL WATER WORKS,3,PLANT FOR WELL 1 & 3 - OFFICE,B,02,DISINFECT/HYPOCHLORIN
1170168,COTTAGE HILL WATER WORKS,3,PLANT FOR WELL 1 & 3 - OFFICE,Z,19,OTHER/PH ADJUSTMENT
1170168,COTTAGE HILL WATER WORKS,4,PLANT FOR WELL 4 - STACY ROAD,B,01,DISINFECT/GASEOUS CHLORIN
1170168,COTTAGE HILL WATER WORKS,4,PLANT FOR WELL 4 - STACY ROAD,Z,19,OTHER/PH ADJUSTMENT
1170259,"FARM HILL UTILITIES, INC.",1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
1170259,"FARM HILL UTILITIES, INC.",1,PLANT #1,Z,19,OTHER/PH ADJUSTMENT
1170259,"FARM HILL UTILITIES, INC.",2,PLANT 2,B,01,DISINFECT/GASEOUS CHLORIN
1170259,"FARM HILL UTILITIES, INC.",2,PLANT 2,Z,19,OTHER/PH ADJUSTMENT
1170259,"FARM HILL UTILITIES, INC.",3,PLANT 3,B,01,DISINFECT/GASEOUS CHLORIN
1170259,"FARM HILL UTILITIES, INC.",3,PLANT 3,Z,19,OTHER/PH ADJUSTMENT
1170259,"FARM HILL UTILITIES, INC.",4,PLANT 4 - OFFICE,B,01,DISINFECT/GASEOUS CHLORIN
1170259,"FARM HILL UTILITIES, INC.",4,PLANT 4 - OFFICE,Z,19,OTHER/PH ADJUSTMENT
1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",1,PLANT FOR WELL 1,B,02,DISINFECT/HYPOCHLORIN
1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",1,PLANT FOR WELL 1,Z,19,OTHER/PH ADJUSTMENT
1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",2,PLANT FOR WELL 2,B,01,DISINFECT/GASEOUS CHLORIN
1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",2,PLANT FOR WELL 2,Z,19,OTHER/PH ADJUSTMENT
1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",3,PLANT FOR WELL 3,B,01,DISINFECT/GASEOUS CHLORIN
1170302,"GONZALEZ UTILITIES ASSOCIATION, INC.",3,PLANT FOR WELL 3,Z,19,OTHER/PH ADJUSTMENT
1170319,GULF ISLANDS NATIONAL SEASHORE,1,PLANT #1,B,02,DISINFECT/HYPOCHLORIN
