X,Y,GIS_PLANT_ID,PWS_OC1_OFFICE_ID,PWS_ID,PWS_STATUS,PWS_NAME,PWS_CITY,PWS_TYPE_CODE,PWS_TYPE,PWS_POP_SERVED,PWS_SUBPART_H,PWS_LAST_SAN_SURVEY,PWS_LAST_01_INSP,PWS_INSPECTOR_INITS,PWS_PRIMARY_SERVICE_AREA,PWS_OPERATOR,PLANT_ID,PLANT_NAME,PLANT_STATUS,PLANT_FOUR_LOG_REMOVAL,PLANT_LAT_DD,PLANT_LAT_MM,PLANT_LONG_DD,PLANT_LONG_MM,PLANT_COORDINATE_METHOD,PLANT_DATUM,PLANT_COORDINATE_DATE,PLANT_DESIGN_CAPACITY,PLANT_HEIGHT_ABOVE_ELLIPSOID,OBJECTID
243532.723267875,692831.916337734,76,NWD,1034060,ACTIVE,ONE STOP SHOP #2 (AKA LYNN HAVEN TEXACO),PANAMA CITY,N,NONCOMMUNITY,50,N,2020/10/26 00:00:00+00,2014/02/14 00:00:00+00,LJ,CONVENIENCE STORE,,1,WELL #1,ACTIVE,N,30,14,85,37,DGPS,83,1997/03/07 00:00:00+00,17280,,76
261848.236634445,707337.333717085,78,NWD,1034062,ACTIVE,MR. MART #13,YOUNGSTOWN,N,NONCOMMUNITY,25,N,2022/10/12 00:00:00+00,1993/05/17 00:00:00+00,LJ,CONVENIENCE STORE,CHRISTOPHER HURST,1,WELL #1,ACTIVE,N,30,21,85,26,DPHO,83,2006/02/24 00:00:00+00,36000,,78
251141.39154652,700749.449547637,79,NWD,1034063,ACTIVE,M & M MARKET #3,YOUNGSTOWN,N,NONCOMMUNITY,100,N,2022/10/12 00:00:00+00,1996/02/14 00:00:00+00,LJ,CONVENIENCE STORE,CHRISTOPHER HURST,1,PLANT #1,ACTIVE,N,30,18,85,32,DGPS,83,2001/08/01 00:00:00+00,17280,-14.498,79
262958.384976947,714835.830650121,85,NWD,1034069,ACTIVE,231 PLAZA,YOUNGSTOWN,N,NONCOMMUNITY,25,N,2022/10/12 00:00:00+00,1996/03/20 00:00:00+00,LJ,RESTAURANT,,1,WELL #1,ACTIVE,N,30,26,85,25,DPHO,83,2006/02/16 00:00:00+00,28800,,85
262570.046740951,711822.674114838,90,NWD,1034074,ACTIVE,"ALWAYS STOP, LLC",YOUNGSTOWN,N,NONCOMMUNITY,29,N,2024/01/30 00:00:00+00,1992/07/17 00:00:00+00,KH,CONVENIENCE STORE,CHRIS HURST,1,WELL #1,ACTIVE,N,30,24,85,25,DPHO,83,2006/02/03 00:00:00+00,27000,,90
251910.004229423,699476.153255118,110,NWD,1034096,ACTIVE,GARNER'S SUPERMARKET,PANAMA CITY,N,NONCOMMUNITY,100,N,2021/10/13 00:00:00+00,1995/03/14 00:00:00+00,LJ,CONVENIENCE STORE,,1,PLANT #1,ACTIVE,N,30,17,85,32,DGPS,83,2001/08/01 00:00:00+00,28800,-11.825,110
237862.866462597,712226.740168821,120,NWD,1034106,ACTIVE,STACEY'S SWINGERS DAY CARE,SOUTHPORT,P,NONTRANSIENT NONCOMMUNITY,47,N,2022/10/12 00:00:00+00,2014/06/16 00:00:00+00,LJ,DAY CARE,,1,PLANT #1,ACTIVE,N,30,24,85,41,DPHO,83,2006/02/22 00:00:00+00,17280,,120
266261.252006136,725455.733712722,128,NWD,1034114,ACTIVE,PINE LAKE RV PARK,FOUNTAIN,N,NONCOMMUNITY,45,N,2023/03/20 00:00:00+00,1998/04/21 00:00:00+00,LC,RV PARK,,1,WELL #1,ACTIVE,N,30,31,85,23,DPHO,83,2001/08/02 00:00:00+00,28800,41.69,128
263570.208846235,719264.515682379,145,NWD,1034133,ACTIVE,CHIODOS 231 EXPRESS MARKET,FOUNTAIN,N,NONCOMMUNITY,25,N,2022/10/12 00:00:00+00,,LJ,CONVENIENCE STORE,CHRISTOPHER HURST,1,PLANT NO. 1,ACTIVE,N,30,28,85,25,DGPS,83,2001/08/02 00:00:00+00,36000,38.911,145
301695.61507077,715370.520681506,147,NWD,1070008,ACTIVE,AIRPORT MOTEL,BLOUNTSTOWN,N,NONCOMMUNITY,25,N,2024/03/05 00:00:00+00,,KH,MOTEL,,1,BLOUNTSTOWN,ACTIVE,N,30,26,85,1,DPHO,83,2006/05/17 00:00:00+00,28800,,147
291891.883985452,729737.660392391,148,NWD,1070014,ACTIVE,"ALTHA, TOWN OF WATER SYSTEM",ALTHA,C,COMMUNITY,800,N,2023/12/05 00:00:00+00,2012/03/19 00:00:00+00,KH,MUNICIPAL/CITY,CALVIN RONEY,1,ALTHA-WELLS 1 &2,ACTIVE,N,30,34,85,7,DPHO,83,2006/10/31 00:00:00+00,1836000,,148
286610.23472197,716380.844360694,150,NWD,1070116,ACTIVE,CARR  SCHOOL,CLARKSVILLE,P,NONTRANSIENT NONCOMMUNITY,250,N,2023/11/15 00:00:00+00,2014/02/11 00:00:00+00,KH,ELEMENTARY SCHOOL,MICHAEL WAHLQUIST,1,PLANT #1,ACTIVE,N,30,27,85,10,DPHO,83,2006/11/03 00:00:00+00,14400,,150
299719.574883609,716680.43291782,152,NWD,1070685,ACTIVE,"BLOUNTSTOWN, CITY OF",BLOUNTSTOWN,C,COMMUNITY,3000,N,2021/12/13 00:00:00+00,2012/08/02 00:00:00+00,LJ,MUNICIPAL/CITY,MICHAEL WARD,1,PLANT #1,ACTIVE,N,30,27,85,2,DPHO,83,1977/07/07 00:00:00+00,1872000,,152
298944.646308638,715666.587342208,153,NWD,1070685,ACTIVE,"BLOUNTSTOWN, CITY OF",BLOUNTSTOWN,C,COMMUNITY,3000,N,2021/12/13 00:00:00+00,2012/08/02 00:00:00+00,LJ,MUNICIPAL/CITY,MICHAEL WARD,2,PLANT #2,ACTIVE,N,30,26,85,3,DPHO,83,2007/02/28 00:00:00+00,,,153
297688.208829674,716321.97040241,154,NWD,1070685,ACTIVE,"BLOUNTSTOWN, CITY OF",BLOUNTSTOWN,C,COMMUNITY,3000,N,2021/12/13 00:00:00+00,2012/08/02 00:00:00+00,LJ,MUNICIPAL/CITY,MICHAEL WARD,3,PLANT #3,ACTIVE,N,30,27,85,3,DPHO,83,2007/02/28 00:00:00+00,,,154
286060.926844034,714926.269928003,166,NWD,1074013,ACTIVE,WACO STORE #29  (QUICK STOP #12),CLARKSVILLE,N,NONCOMMUNITY,309,N,2023/11/15 00:00:00+00,1994/09/30 00:00:00+00,KH,CONVENIENCE STORE,MICHAEL WAHLQUIST,1,PLANT #1,ACTIVE,N,30,26,85,11,DPHO,83,2006/11/07 00:00:00+00,50400,,166
285074.857995257,723962.324235924,168,NWD,1074015,ACTIVE,SHELTON TRUCKING LLC,ALTHA,P,NONTRANSIENT NONCOMMUNITY,60,N,2023/05/22 00:00:00+00,2012/01/24 00:00:00+00,LJ,INDUSTRIAL/AGRICULTURAL,WAYNE CONRAD,1,"SHELTON TRUCKING SERVICE,INC.",ACTIVE,N,30,31,85,11,DPHO,83,2006/11/02 00:00:00+00,36000,,168
83338.4266356076,780372.33091097,181,NWD,1170126,ACTIVE,CENTRAL WATER WORKS,CENTURY,C,COMMUNITY,2560,N,2021/12/15 00:00:00+00,2012/09/18 00:00:00+00,AB,MUNICIPAL/CITY,JONATHAN (JON) GODWIN,3,PLANT 3 -KILLAM ROAD,ACTIVE,N,30,59,87,19,DPHO,83,2006/10/24 00:00:00+00,2304000,,181
82118.8212123055,740517.473187098,184,NWD,1170168,ACTIVE,COTTAGE HILL WATER WORKS,CANTONMENT,C,COMMUNITY,3572,N,2022/02/22 00:00:00+00,2013/08/30 00:00:00+00,MJ,MUNICIPAL/CITY,CHARLES RANDELL WEAVER,3,PLANT FOR WELL 1 & 3 - OFFICE,ACTIVE,N,30,38,87,19,DPHO,83,2008/01/03 00:00:00+00,2880000,,184
78631.0199062777,737878.82954053,186,NWD,1170259,ACTIVE,"FARM HILL UTILITIES, INC.",CANTONMENT,C,COMMUNITY,10346,N,2022/06/07 00:00:00+00,2015/05/06 00:00:00+00,AT,MUNICIPAL/CITY,SHANE WILEY,2,PLANT 2,ACTIVE,N,30,36,87,21,DPHO,83,2004/12/01 00:00:00+00,2736000,,186
79568.7052712862,737355.906582057,187,NWD,1170259,ACTIVE,"FARM HILL UTILITIES, INC.",CANTONMENT,C,COMMUNITY,10346,N,2022/06/07 00:00:00+00,2015/05/06 00:00:00+00,AT,MUNICIPAL/CITY,SHANE WILEY,3,PLANT 3,ACTIVE,N,30,36,87,20,DPHO,83,2004/12/01 00:00:00+00,,,187
84084.8071244091,734924.25537801,188,NWD,1170302,ACTIVE,"GONZALEZ UTILITIES ASSOCIATION, INC.",CANTONMENT,C,COMMUNITY,6668,N,2022/03/02 00:00:00+00,2012/08/24 00:00:00+00,SH,MUNICIPAL/CITY,RANDALL JARMAN,1,PLANT FOR WELL 1,ACTIVE,N,30,35,87,17,DGPS,83,2008/01/07 00:00:00+00,2088000,,188
79748.3628979874,749892.942860903,191,NWD,1170475,ACTIVE,"MOLINO UTILITIES, INC.",MOLINO,C,COMMUNITY,8487,N,2022/03/29 00:00:00+00,2015/02/27 00:00:00+00,PS,MUNICIPAL/CITY,RANDY WEAVER,1,PLANT #1,ACTIVE,N,30,43,87,20,DPHO,83,2007/08/14 00:00:00+00,3816000,,191
75729.2345108677,755701.462546906,192,NWD,1170475,ACTIVE,"MOLINO UTILITIES, INC.",MOLINO,C,COMMUNITY,8487,N,2022/03/29 00:00:00+00,2015/02/27 00:00:00+00,PS,MUNICIPAL/CITY,RANDY WEAVER,2,PLANT #2,ACTIVE,N,30,46,87,23,DPHO,83,2007/08/14 00:00:00+00,,,192
77717.7121978167,747720.035279548,193,NWD,1170475,ACTIVE,"MOLINO UTILITIES, INC.",MOLINO,C,COMMUNITY,8487,N,2022/03/29 00:00:00+00,2015/02/27 00:00:00+00,PS,MUNICIPAL/CITY,RANDY WEAVER,3,PLANT #3,ACTIVE,N,30,41,87,22,DPHO,83,2007/08/14 00:00:00+00,,,193
88651.1943318584,736378.338193877,194,NWD,1170477,ACTIVE,ASCEND PERFORMANCE MATERIALS (SOLUTIA),CANTONMENT,P,NONTRANSIENT NONCOMMUNITY,920,N,2024/02/23 00:00:00+00,2007/05/09 00:00:00+00,MP,INDUSTRIAL/AGRICULTURAL,GEORGE THOMPSON / JOHN COTTON,1,ASCEND WATER TREATMENT PLANT,ACTIVE,N,30,35,87,14,DPHO,83,2005/10/17 00:00:00+00,2999999,,194
81435.1380005705,726189.137394745,195,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,1,DUNAWAY,ACTIVE,N,30,30,87,19,DPHO,83,2006/11/20 00:00:00+00,75816000,,195
94908.6254602519,722782.54315781,196,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,2,AIRPORT NORTH,ACTIVE,N,30,28,87,10,DPHO,83,2006/11/20 00:00:00+00,,,196
91109.6911541649,727803.063239645,198,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,4,UNIVERSITY PARKWAY,ACTIVE,N,30,31,87,13,DPHO,83,2006/04/28 00:00:00+00,,,198
87857.5892496997,729072.384740015,199,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,5,4-OLF,ACTIVE,N,30,31,87,15,DPHO,83,2006/11/20 00:00:00+00,,,199
93947.8480453233,724446.760724293,203,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,9,MCALLISTER,ACTIVE,N,30,29,87,11,DPHO,83,2006/11/20 00:00:00+00,,,203
86263.7946714688,726840.999656565,205,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,11,BROAD STREET,ACTIVE,N,30,30,87,16,DPHO,83,2006/11/20 00:00:00+00,,,205
85408.5799167128,730987.120674718,206,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,12,SWEENEY,ACTIVE,N,30,32,87,16,DPHO,83,2006/11/20 00:00:00+00,,,206
92212.8116604032,726516.400759937,207,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,13,OLIVE ROAD,ACTIVE,N,30,30,87,12,DPHO,83,2006/11/20 00:00:00+00,,,207
89627.9418138946,716654.367791886,210,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,16,WEST PLANT,ACTIVE,N,30,25,87,14,DPHO,83,2006/11/20 00:00:00+00,,,210
86389.9922161364,717314.221297642,211,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,17,WEST PENSACOLA,ACTIVE,N,30,25,87,16,DPHO,83,2006/11/20 00:00:00+00,,,211
88198.4557774233,717837.16312008,212,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,18,"""W"" & AVERY",ACTIVE,N,30,25,87,14,DPHO,83,2006/11/20 00:00:00+00,,,212
90102.0243910076,718522.562940044,213,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,19,"""F"" & SCOTT",ACTIVE,N,30,26,87,13,DPHO,83,2006/11/20 00:00:00+00,,,213
81536.1324953351,716831.259491956,214,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,20,LILLIAN,ACTIVE,N,30,25,87,19,DPHO,83,2006/11/20 00:00:00+00,,,214
91459.9736881815,716904.111350773,219,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,25,NO. 6,ACTIVE,N,30,25,87,12,DPHO,83,2006/11/20 00:00:00+00,,,219
85078.459197938,720979.779888779,221,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,27,CARRIAGE HILLS,ACTIVE,N,30,27,87,16,DPHO,83,2006/11/20 00:00:00+00,,,221
81684.3703597772,714945.069897721,222,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,28,VILLA DRIVE,ACTIVE,N,30,24,87,18,DPHO,83,2006/11/20 00:00:00+00,,,222
91216.4072243731,721960.414357387,223,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,29,ROYCE,ACTIVE,N,30,28,87,13,DPHO,83,2006/11/20 00:00:00+00,,,223
92832.3690485535,727314.903772295,224,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,30,ELLYSON FIELD,ACTIVE,N,30,31,87,12,DPHO,83,2006/11/27 00:00:00+00,,,224
82358.7973354694,738224.762725579,225,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,31,CANTONMENT,ACTIVE,N,30,36,87,18,DPHO,83,2006/11/27 00:00:00+00,,,225
84530.095554785,720571.930027291,226,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,32,TENNANT,ACTIVE,N,30,27,87,17,DPHO,83,2006/11/27 00:00:00+00,,,226
87297.3276286044,731305.19172761,227,NWD,1170525,ACTIVE,EMERALD COAST UTILITIES AUTHORITY (ECUA),PENSACOLA,C,COMMUNITY,241803,N,2022/05/02 00:00:00+00,2012/09/26 00:00:00+00,PLS,MUNICIPAL/CITY,BOBBY ROGERS,33,MCCRORY,ACTIVE,N,30,33,87,15,DPHO,83,2006/11/27 00:00:00+00,,,227
85245.1842279742,713740.246452175,228,NWD,1170527,ACTIVE,PEOPLES WATER SERVICE COMPANY,PENSACOLA,C,COMMUNITY,24806,N,2024/02/07 00:00:00+00,2014/09/10 00:00:00+00,AB,MUNICIPAL/CITY,THEO DELEON,1,PLANT #3--MINDO,ACTIVE,N,30,23,87,16,DPHO,83,2009/02/09 00:00:00+00,7416000,,228
86923.7824238543,713609.060804088,229,NWD,1170527,ACTIVE,PEOPLES WATER SERVICE COMPANY,PENSACOLA,C,COMMUNITY,24806,N,2024/02/07 00:00:00+00,2014/09/10 00:00:00+00,AB,MUNICIPAL/CITY,THEO DELEON,2,PLANT #4 - FLEET,ACTIVE,N,30,23,87,15,DPHO,83,2009/02/09 00:00:00+00,,,229
85779.604582214,714865.276927993,230,NWD,1170527,ACTIVE,PEOPLES WATER SERVICE COMPANY,PENSACOLA,C,COMMUNITY,24806,N,2024/02/07 00:00:00+00,2014/09/10 00:00:00+00,AB,MUNICIPAL/CITY,THEO DELEON,3,PLANT 5,ACTIVE,N,30,24,87,16,DPHO,83,2009/02/09 00:00:00+00,,,230
86023.9944314309,715508.96410951,231,NWD,1170527,ACTIVE,PEOPLES WATER SERVICE COMPANY,PENSACOLA,C,COMMUNITY,24806,N,2024/02/07 00:00:00+00,2014/09/10 00:00:00+00,AB,MUNICIPAL/CITY,THEO DELEON,5,PLANT 8 (BEHIND GOOFY GOLF),ACTIVE,N,30,24,87,16,DPHO,83,2009/02/09 00:00:00+00,,,231
85753.9018831233,713855.401906807,232,NWD,1170527,ACTIVE,PEOPLES WATER SERVICE COMPANY,PENSACOLA,C,COMMUNITY,24806,N,2024/02/07 00:00:00+00,2014/09/10 00:00:00+00,AB,MUNICIPAL/CITY,THEO DELEON,6,PLANT 9  --  BRANDON AVE,ACTIVE,N,30,23,87,16,DPHO,83,2009/02/09 00:00:00+00,,,232
80434.2496993276,773878.15593742,235,NWD,1170552,ACTIVE,BLUFF SPRINGS (R.L.D.S.) CAMPGROUND,MCDAVID,N,NONCOMMUNITY,200,N,2020/03/16 00:00:00+00,,DH,CAMP GROUND,RODNEY BURKETT,1,HYPOCHLORITE PLANT,ACTIVE,N,30,56,87,20,DPHO,83,2005/10/31 00:00:00+00,144000,,235
89066.5345541302,779373.935433319,240,NWD,1170613,ACTIVE,"CENTURY, TOWN OF",CENTURY,C,COMMUNITY,3490,N,2024/01/11 00:00:00+00,2012/07/28 00:00:00+00,KTH,MUNICIPAL/CITY,,1,PLANT FOR WELL 1 (BLACKMON),ACTIVE,N,30,59,87,15,DPHO,83,2004/09/09 00:00:00+00,2088000,,240
88903.2045371942,780136.663827658,241,NWD,1170613,ACTIVE,"CENTURY, TOWN OF",CENTURY,C,COMMUNITY,3490,N,2024/01/11 00:00:00+00,2012/07/28 00:00:00+00,KTH,MUNICIPAL/CITY,,2,PLANT FOR WELL 2,ACTIVE,N,30,59,87,15,DPHO,83,2006/06/14 00:00:00+00,,,241
91318.5914491505,730248.236839794,246,NWD,1170703,ACTIVE,UNIVERSITY OF WEST FLORIDA,PENSACOLA,C,COMMUNITY,13285,N,2024/03/25 00:00:00+00,2014/09/05 00:00:00+00,MJ,UNIVERSITY WITH RESIDENCY,SCOTT WINCHESTER,1,WELL #2 (BY ELEVATED TANK),ACTIVE,N,30,32,87,13,DPHO,83,2005/12/28 00:00:00+00,2376000,,246
