PWS ID,PWS Name,Status,County,Population Served,Fluoride Product,Fluoridated,Water Source
FL-1324074,JACKSON CORRECTIONAL INSTITUTION,Non-Adjusted,Jackson (Primary),1817,Natural                       ,No,Ground
FL-1324098,JACKSON CO. UTILITIES (PILOT),Non-Adjusted,Jackson (Primary),1854,Natural                       ,No,Ground
FL-1330374,CROSS LANDINGS HEALTH/REHAB,Non-Adjusted,Jefferson (Primary),71,Natural                       ,No,Ground
FL-1330478,"MONTICELLO, CITY OF",Non-Adjusted,Jefferson (Primary),4025,Natural                       ,No,Ground
FL-1330748,JEFFERSON COMMUNITIES WATER SYSTEM,Consecutive,Jefferson (Primary),2034,Natural                       ,No,Ground
FL-1330754,LAMONT,Non-Adjusted,Jefferson (Primary),216,Natural                       ,No,Ground
FL-1370023,ANNAWOOD SUBDIVISION,Consecutive,Leon (Primary),103,H2SiF6,Yes,Ground
FL-1370077,BLOUNT'S LANDING WATER SYSTEM,Non-Adjusted,Leon (Primary),260,Natural                       ,No,Ground
FL-1370096,BURGESS CIRCLE SUBDIVISION,Non-Adjusted,Leon (Primary),63,Natural                       ,No,Ground
FL-1370288,TWIN LAKES MOBILE HOME PARK,Non-Adjusted,Leon (Primary),156,Natural                       ,No,Ground
FL-1370353,LEON CO. REGIONAL SYSTEM EAST,Non-Adjusted,Leon (Primary),1479,Natural                       ,No,Ground
FL-1370393,BRADFORDVILLE REGIONAL W/S,Non-Adjusted,Leon (Primary),10437,Natural                       ,No,Ground
FL-1370403,LAKE TALQUIN WATER COMPANY,Non-Adjusted,Leon (Primary),148,Natural                       ,No,Ground
FL-1370419,EAGLE'S NEST MHP,Non-Adjusted,Leon (Primary),29,Natural                       ,No,Ground
FL-1370461,MEADOW HILLS S/D WATER SYSTEM,Non-Adjusted,Leon (Primary),235,Natural                       ,No,Ground
FL-1370463,MERIDIAN HILLS WATER SYSTEM,Non-Adjusted,Leon (Primary),209,Natural                       ,No,Ground
FL-1370598,SEDGEFIELD SUBDIVISION,Non-Adjusted,Leon (Primary),235,Natural                       ,No,Ground
FL-1370616,GRAND VILLAGE MHP WEST (MARCUS MEADOWS),Non-Adjusted,Leon (Primary),113,Natural                       ,No,Ground
FL-1370617,LEON CO. REGIONAL SYSTEM SOUTH,Non-Adjusted,Leon (Primary),682,Natural                       ,No,Ground
FL-1370640,STONEGATE SUBDIVISION,Non-Adjusted,Leon (Primary),63,Natural                       ,No,Ground
FL-1370655,"TALLAHASSEE, CITY OF",Adjusted,Leon (Primary),173396,H2SiF6,Yes,Ground
FL-1370669,MEADOWS-AT-WOODRUN,Non-Adjusted,Leon (Primary),3170,Natural                       ,No,Ground
FL-1370745,LEON CO. REGIONAL SYSTEM WEST,Non-Adjusted,Leon (Primary),1989,Natural                       ,No,Ground
FL-1370791,LAKE BRADFORD MOBILE HOME EST.,Non-Adjusted,Leon (Primary),149,Natural                       ,No,Ground
FL-1370888,LAKE JACKSON AREA WATER SYSTEM,Consecutive,Leon (Primary),8766,H2SiF6,Yes,Ground
FL-1370898,BREWSTER SUBDIVISION,Consecutive,Leon (Primary),325,H2SiF6,Yes,Ground
FL-1374008,BUCK LAKE ESTATES WATER SYSTEM,Non-Adjusted,Leon (Primary),134,Natural                       ,No,Ground
FL-1374049,NORTH LAKE MEADOW WATER SYSTEM,Non-Adjusted,Leon (Primary),179,Natural                       ,No,Ground
FL-1374054,PLANTATION ESTATES,Non-Adjusted,Leon (Primary),330,Natural                       ,No,Ground
FL-1374072,DOGWOOD MHP,Non-Adjusted,Leon (Primary),27,Natural                       ,No,Ground
FL-1374104,GRAND VILLAGE MHP (MARCUS MEADOWS EAST),Non-Adjusted,Leon (Primary),25,Natural                       ,No,Ground
FL-1390087,"BRISTOL, CITY OF WATER SYSTEM",Non-Adjusted,Liberty (Primary),1747,Natural                       ,No,Ground
FL-1390651,SWEETWATER WATER SYSTEM,Non-Adjusted,Liberty (Primary),58,Natural                       ,No,Ground
FL-1390901,"HOSFORD,TOWN OF WATER SYSTEM",Non-Adjusted,Liberty (Primary),1153,Natural                       ,No,Ground
FL-1394001,LIBERTY CORRECTIONAL INSTITUTION,Non-Adjusted,Liberty (Primary),1444,Natural                       ,No,Ground
FL-1394003,SUMATRA,Non-Adjusted,Liberty (Primary),146,Natural                       ,No,Ground
FL-1394006,ESTIFFANULGA,Non-Adjusted,Liberty (Primary),251,Natural                       ,No,Ground
FL-1394009,LAKE MYSTIC WATER SYSTEM,Non-Adjusted,Liberty (Primary),281,Natural                       ,No,Ground
FL-1394012,ROCK BLUFF WATER SYSTEM,Non-Adjusted,Liberty (Primary),148,Natural                       ,No,Ground
FL-1460035,AUBURN WATER SYSTEM,Non-Adjusted,Okaloosa (Primary),24063,Natural                       ,No,Ground
FL-1460043,"BAKER WATER SYSTEM, INC.",Non-Adjusted,Okaloosa (Primary),2255,Natural                       ,No,Ground
FL-1460144,"FORT WALTON BEACH, CITY OF",Natural,Okaloosa (Primary),21560,Natural                       ,Yes,Ground
FL-1460147,"NICEVILLE, CITY OF",Adjusted,Okaloosa (Primary),18162,H2SiF6,Yes,Ground
FL-1460149,"VALPARAISO, CITY OF",Non-Adjusted,Okaloosa (Primary),4727,Natural                       ,No,Ground
FL-1460182,"CRESTVIEW, CITY OF WATER DEPT.",Non-Adjusted,Okaloosa (Primary),28888,Natural                       ,No,Ground
FL-1460202,"DESTIN WATER USERS, INC.",Natural,Okaloosa (Primary),27233,Natural                       ,Yes,Ground
FL-1460352,"HOLT WATER WORKS, INC.",Non-Adjusted,Okaloosa (Primary),2720,Natural                       ,No,Ground
FL-1460416,"LAUREL HILL, CITY OF",Non-Adjusted,Okaloosa (Primary),1990,Natural                       ,No,Ground
FL-1460455,"MARY ESTHER, TOWN OF",Natural,Okaloosa (Primary),3588,Natural                       ,Yes,Ground
FL-1460472,"MILLIGAN WATER SYSTEM, INC.",Non-Adjusted,Okaloosa (Primary),2191,Natural                       ,No,Ground
FL-1460506,OKALOOSA CO.WTR.& SWR.SYSTEM,Natural,Okaloosa (Primary),76152,Natural                       ,Yes,Ground
FL-1460775,BLUEWATER BAY-RAINTREE DEVLPM.,Non-Adjusted,Okaloosa (Primary),12303,Natural                       ,No,Ground
FL-1460782,HURLBURT FIELD AFB WATER SYS.,Natural,Okaloosa (Primary),9485,Natural                       ,Yes,Ground
FL-1460826,EGLIN MAIN BASE,Natural,Okaloosa (Primary),3728,Natural                       ,Yes,Ground
FL-1460828,EGLIN HOUSING,Natural,Okaloosa (Primary),3129,Natural                       ,Yes,Ground
FL-1460830,EGLIN AUX. 6,Non-Adjusted,Okaloosa (Primary),112,Natural                       ,No,Ground
FL-1464034,OKALOOSA CORRECTIONAL INST.,Non-Adjusted,Okaloosa (Primary),1609,Natural                       ,No,Ground
FL-1464044,MID OKALOOSA CO. WATER SYSTEM,Non-Adjusted,Okaloosa (Primary),6527,Natural                       ,No,Ground
FL-1464067,EGLIN 7TH SPECIAL FORCES GROUP,Non-Adjusted,Okaloosa (Primary),1341,Natural                       ,No,Ground
FL-1464068,BLACKMAN COMMUNITY,Non-Adjusted,Okaloosa (Primary),726,Natural                       ,No,Ground
FL-1570042,BAGDAD-GARCON POINT WATER SYSTEM,Consecutive,Santa Rosa (Primary),7354,Natural                       ,No,Ground
FL-1570064,BERRYDALE WATER SYSTEM,Non-Adjusted,Santa Rosa (Primary),2845,Natural                       ,No,Ground
FL-1570140,"CHUMUCKLA WATER SYSTEM, INC.",Non-Adjusted,Santa Rosa (Primary),4173,Natural                       ,No,Ground
FL-1570146,"MILTON, CITY OF WATER SYSTEM",Consecutive,Santa Rosa (Primary),18992,Natural                       ,No,Ground
FL-1570232,EAST MILTON WATER SYSTEM,Non-Adjusted,Santa Rosa (Primary),10799,Natural                       ,No,Ground
FL-1570316,GULF BREEZE WATER DEPARTMENT,Consecutive,Santa Rosa (Primary),15627,Natural                       ,Yes,Ground
FL-1570349,HOLLEY-NAVARRE WATER SYSTEM,Natural,Santa Rosa (Primary),40616,Natural                       ,Yes,Ground
FL-1570384,"JAY, CITY OF UTILITIES DEPT.",Consecutive,Santa Rosa (Primary),1640,Natural                       ,No,Ground
FL-1570470,"MIDWAY WATER SYSTEM, INC.",Natural,Santa Rosa (Primary),15035,Natural                       ,Yes,Ground
FL-1570479,MOORE CREEK-MT. CARMEL UTIL.,Non-Adjusted,Santa Rosa (Primary),3822,Natural                       ,No,Ground
FL-1570489,N.A.S. WHITING FIELD (USN),Natural,Santa Rosa (Primary),2755,Natural                       ,Yes,Ground
FL-1570540,"POINT BAKER WATER SYSTEM, INC.",Non-Adjusted,Santa Rosa (Primary),9143,Natural                       ,No,Ground
FL-1570593,SOUTH SANTA ROSA UTILITIES,Consecutive,Santa Rosa (Primary),24530,Natural                       ,Yes,Ground
FL-1570671,"PACE WATER SYSTEM, INC.",Non-Adjusted,Santa Rosa (Primary),38731,Natural                       ,No,Ground
FL-1570874,NAVARRE BEACH WATER SYSTEM,Natural,Santa Rosa (Primary),5279,Natural                       ,Yes,Ground
FL-1650514,PANACEA AREA WATER SYSTEM,Non-Adjusted,Wakulla (Primary),2482,Natural                       ,No,Ground
FL-1650612,"SOPCHOPPY, CITY OF",Non-Adjusted,Wakulla (Primary),9303,Natural                       ,No,Ground
FL-1650630,"ST. MARKS, CITY OF WATER SYS.",Consecutive,Wakulla (Primary),325,H2SiF6,Yes,Ground
FL-1650778,MYSTERIOUS WATERS SUBDIVISION,Non-Adjusted,Wakulla (Primary),174,Natural                       ,No,Ground
FL-1650785,WAKULLA REGIONAL-(AKA GULF COAST),Non-Adjusted,Wakulla (Primary),5876,Natural                       ,No,Ground
FL-1650791,WINCO UTILITIES W/S,Non-Adjusted,Wakulla (Primary),3170,Natural                       ,No,Ground
FL-1650792,WAKULLA WATER SYSTEM,Non-Adjusted,Wakulla (Primary),309,Natural                       ,No,Ground
FL-1660028,"ARGYLE WATER SYSTEM, INC.",Non-Adjusted,Walton (Primary),1014,Natural                       ,No,Ground
FL-1660196,"DEFUNIAK SPRINGS, CITY OF W/S",Non-Adjusted,Walton (Primary),10947,Natural                       ,No,Ground
FL-1660290,"FREEPORT, CITY OF",Non-Adjusted,Walton (Primary),10747,Natural                       ,No,Ground
FL-1660370,"INLET BEACH WATER SYSTEM, INC.",Consecutive,Walton (Primary),2338,Natural                       ,No,Ground
FL-1660407,LAKE SHARON ESTATES,Non-Adjusted,Walton (Primary),156,Natural                       ,No,Ground
FL-1660524,"PAXTON, TOWN OF",Non-Adjusted,Walton (Primary),2057,Natural                       ,No,Ground
FL-1660596,REGIONAL UTILITIES WATER SYSTEM,Consecutive,Walton (Primary),55637,Natural                       ,No,Ground
FL-1660615,SOUTH WALTON UTILITY COMPANY,Non-Adjusted,Walton (Primary),22356,Natural                       ,No,Ground
FL-1660803,"MOSSY HEAD, TOWN OF",Non-Adjusted,Walton (Primary),3362,Natural                       ,No,Ground
FL-1664019,NORTHBAY WATER SYSTEM,Consecutive,Walton (Primary),2850,Natural                       ,No,Ground
FL-1670119,"CARYVILLE, TOWN OF",Non-Adjusted,Washington (Primary),378,Natural                       ,No,Ground
FL-1670135,"CHIPLEY, CITY OF",Non-Adjusted,Washington (Primary),3474,Natural                       ,No,Ground
FL-1670647,SUNNY HILLS UTILITIES,Non-Adjusted,Washington (Primary),1486,Natural                       ,No,Ground
FL-1670710,"VERNON, CITY OF",Non-Adjusted,Washington (Primary),671,Natural                       ,No,Ground
FL-1670721,"WAUSAU, TOWN OF",Non-Adjusted,Washington (Primary),334,Natural                       ,No,Ground
FL-1670733,NORTHWEST FLORIDA RECEPTION CENTER,Non-Adjusted,Washington (Primary),2414,Natural                       ,No,Ground
FL-2010017,ALACHUA WTP,Adjusted,Alachua (Primary),7350,NaF,Yes,Ground
FL-2010041,ARREDONDO ESTATES,Non-Adjusted,Alachua (Primary),660,Natural                       ,No,Ground
FL-2010042,ARREDONDO FARMS,Non-Adjusted,Alachua (Primary),976,Natural                       ,No,Ground
FL-2010199,ARCHER W.T.P.,Non-Adjusted,Alachua (Primary),1288,Natural                       ,No,Ground
FL-2010201,HIGH SPRINGS WTP,Non-Adjusted,Alachua (Primary),5181,Natural                       ,No,Ground
FL-2010207,NEWBERRY WTP,Non-Adjusted,Alachua (Primary),3474,Natural                       ,No,Ground
FL-2010212,WALDO WTP,Non-Adjusted,Alachua (Primary),932,Natural                       ,No,Ground
FL-2010477,HAWTHORNE WTP,Non-Adjusted,Alachua (Primary),2034,Natural                       ,No,Ground
FL-2010612,KINCAID HILLS WATER SYSTEM,Non-Adjusted,Alachua (Primary),715,Natural                       ,No,Ground
FL-2010625,LAKE ALTO ESTATES WATER SYSTEM,Non-Adjusted,Alachua (Primary),291,Natural                       ,No,Ground
FL-2010749,MICANOPY WTP,Non-Adjusted,Alachua (Primary),541,Natural                       ,No,Ground
FL-2010946,GRU - MURPHEE WTP,Adjusted,Alachua (Primary),173037,H2SiF6,Yes,Ground
FL-2011006,SANTA FE HILLS SUBDIVISION,Non-Adjusted,Alachua (Primary),179,Natural                       ,No,Ground
FL-2011251,WESTGATE MANOR MHP,Non-Adjusted,Alachua (Primary),268,Natural                       ,No,Ground
FL-2014196,CROSS CREEK MHP,Non-Adjusted,Alachua (Primary),139,Natural                       ,No,Ground
FL-2020204,MACCLENNY WTP,Natural,Baker (Primary),5714,Natural                       ,Yes,Ground
FL-2020815,NORTHEAST FLORIDA STATE HOSPITAL,Non-Adjusted,Baker (Primary),1609,Natural                       ,No,Ground
FL-2021356,BAKER CO. C. I.,Non-Adjusted,Baker (Primary),1341,Natural                       ,No,Ground
FL-2024893,MCCORMICK'S TRAILER PARK,Non-Adjusted,Baker (Primary),22,Natural                       ,No,Ground
FL-2024902,GLEN ST. MARY WATER SYSTEM,Non-Adjusted,Baker (Primary),383,Natural                       ,No,Ground
FL-2040113,BROOKER WATER DEPARTMENT,Non-Adjusted,Bradford (Primary),481,Natural                       ,No,Ground
FL-2040211,"STARKE, CITY OF",Adjusted,Bradford (Primary),6058,H2SiF6,Yes,Ground
FL-2040372,FLORIDA STATE PRISON,Non-Adjusted,Bradford (Primary),6706,Natural                       ,No,Ground
FL-2040456,HAMPTON WATER SYSTEM,Non-Adjusted,Bradford (Primary),444,Natural                       ,No,Ground
FL-2040648,CITY OF LAWTEY,Natural,Bradford (Primary),1654,Natural                       ,Yes,Ground
FL-2040843,OLIN'S MOBILE HOME PARK,Non-Adjusted,Bradford (Primary),36,Natural                       ,No,Ground
FL-2041320,GENEVA LAKE ESTATES,Non-Adjusted,Bradford (Primary),457,Natural                       ,No,Ground
FL-2100150,CAMP BLANDING JOINT TRAINING CENTER,Non-Adjusted,Clay (Primary),805,Natural                       ,No,Ground
FL-2100437,GREEN COVE SPRINGS WS,Non-Adjusted,Clay (Primary),6177,Natural                       ,No,Ground
FL-2100610,KEYSTONE HEIGHTS WTP,Non-Adjusted,Clay (Primary),5593,Natural                       ,No,Ground
FL-2100626,LAKE ASBURY WATER SYSTEM,Non-Adjusted,Clay (Primary),11942,Natural                       ,No,Ground
FL-2100636,LAKE GENEVA MHP,Non-Adjusted,Clay (Primary),85,Natural                       ,No,Ground
FL-2100709,ST JOHNS LANDING,Consecutive,Clay (Primary),1048,Natural                       ,No,Ground
FL-2100741,ORANGE PARK GRID,Non-Adjusted,Clay (Primary),106126,Natural                       ,No,Ground
FL-2100801,KINGSLEY COVE,Non-Adjusted,Clay (Primary),22,Natural                       ,No,Ground
FL-2100882,PENNEY RETIREMENT COMMUNITY,Consecutive,Clay (Primary),402,Natural                       ,No,Ground
FL-2101019,PENNEY FARMS WTP,Non-Adjusted,Clay (Primary),434,Natural                       ,No,Ground
FL-2101182,ORANGE PARK WATER PLANT,Non-Adjusted,Clay (Primary),7716,Natural                       ,No,Ground
FL-2104332,RAVINES WTP,Non-Adjusted,Clay (Primary),2998,Natural                       ,No,Ground
FL-2104345,MIDDLEBURG BLUFF APARTMENTS,Non-Adjusted,Clay (Primary),85,Natural                       ,No,Ground
FL-2104351,PIER STATION WTP,Non-Adjusted,Clay (Primary),173,Natural                       ,No,Ground
FL-2104391,PACE/FLEMING GRID,Non-Adjusted,Clay (Primary),35325,Natural                       ,No,Ground
FL-2104448,PETER'S CREEK WTP,Non-Adjusted,Clay (Primary),3543,Natural                       ,No,Ground
FL-2120043,CANNON CREEK MHP,Non-Adjusted,Columbia (Primary),72,Natural                       ,No,Ground
FL-2120047,AZALEA PARK SUBDIVISON,Non-Adjusted,Columbia (Primary),275,Natural                       ,No,Ground
FL-2120224,COLLEGE MANOR,Non-Adjusted,Columbia (Primary),116,Natural                       ,No,Ground
FL-2120630,LAKE CITY WTP,Non-Adjusted,Columbia (Primary),15893,Natural                       ,No,Ground
FL-2120921,QUAIL HEIGHTS COUNTRY CLUB,Non-Adjusted,Columbia (Primary),102,Natural                       ,No,Ground
FL-2121023,SHADY OAKS SUBDIVISION,Non-Adjusted,Columbia (Primary),284,Natural                       ,No,Ground
FL-2121366,SUWANNEE VALLEY ESTATES,Non-Adjusted,Columbia (Primary),56,Natural                       ,No,Ground
FL-2124284,WOODGATE VILLAGE,Non-Adjusted,Columbia (Primary),311,Natural                       ,No,Ground
FL-2124285,COOL BREEZE MHP,Non-Adjusted,Columbia (Primary),65,Natural                       ,No,Ground
FL-2124287,COUNTRY DALE ESTATES,Non-Adjusted,Columbia (Primary),63,Natural                       ,No,Ground
FL-2124295,242 VILLAGE SUBDIVISION,Non-Adjusted,Columbia (Primary),144,Natural                       ,No,Ground
FL-2124372,BRANDON-BRENT WTP,Non-Adjusted,Columbia (Primary),241,Natural                       ,No,Ground
FL-2124375,VERNDALE APARTMENTS,Non-Adjusted,Columbia (Primary),335,Natural                       ,No,Ground
FL-2124399,"FORT WHITE, TOWN OF",Non-Adjusted,Columbia (Primary),671,Natural                       ,No,Ground
FL-2124409,LANCE WATER,Non-Adjusted,Columbia (Primary),67,Natural                       ,No,Ground
FL-2124413,Columbia County Water System,Non-Adjusted,Columbia (Primary),67,Natural                       ,No,Ground
FL-2150243,CROSS CITY WTP,Non-Adjusted,Dixie (Primary),2548,Natural                       ,No,Ground
FL-2150512,HORSESHOE BEACH WTP,Non-Adjusted,Dixie (Primary),268,Natural                       ,No,Ground
FL-2151026,SHADY OAKS RV AND MHP,Non-Adjusted,Dixie (Primary),67,Natural                       ,No,Ground
FL-2151140,SUWANNEE WATER & SEWER DIST.,Non-Adjusted,Dixie (Primary),1609,Natural                       ,No,Ground
FL-2160053,BALDWIN WATER SYSTEM,Non-Adjusted,Duval (Primary),1600,Natural                       ,No,Ground
FL-2160110,SUNNY OAKS SOUTH,Non-Adjusted,Duval (Primary),72,Natural                       ,No,Ground
FL-2160200,ATLANTIC BEACH WATER SYSTEM,Natural,Duval (Primary),21015,Natural                       ,Yes,Ground
FL-2160206,NEPTUNE BEACH,Natural,Duval (Primary),6500,Natural                       ,Yes,Ground
FL-2160254,DANIEL MEMORIAL HOME,Non-Adjusted,Duval (Primary),54,Natural                       ,No,Ground
FL-2160390,CRYSTAL SPRINGS ESTATES MHP,Non-Adjusted,Duval (Primary),313,Natural                       ,No,Ground
FL-2160563,JACKSONVILLE BEACH WTP,Natural,Duval (Primary),20814,Natural                       ,Yes,Ground
FL-2160568,JACKSONVILLE UNIVERSITY,Non-Adjusted,Duval (Primary),3112,Natural                       ,No,Ground
