,PWSID,SYSTEMNAME,PLANTNUMBER,PLANTNAME,OBJECTIVEID,PROCESSID,PROCESSOBJECTIVEDESC
164,1034139,BAYOU GEORGE RECREATIONAL FACILITY,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
165,1034142,FRED'S BOGUS SYSTEM FOR 9I INSERT TEST I,1,FRED BOGUS 9I TEST PLANT,D,18.0,CORR-CTRL/SEQUESTATION
166,1034143,FOUNTAIN YOUNGSTOWN RECREATION COMPLEX,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
167,1034147,FRANKIE D'S PIZZA (AKA LITTLE BEARS),1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
168,1034149,EASTERN SHIPBUILDING,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
169,1034149,EASTERN SHIPBUILDING,1,PLANT 1,H,25.0,SOFTENING/ION EXCHANGE
170,1034149,EASTERN SHIPBUILDING,1,PLANT 1,H,26.0,SOFTENING/REVERSE OSMOSIS
171,1034151,PRECIOUS MEMORIES DAYCARE,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
172,1034152,EXPRESS LANE #209 - SOUTHPORT,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
173,1034164,BUCKS PIGGLY WIGGLY EXPRESS,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
174,1034170,DOLLAR GENERAL #15344 (FOUNTAIN),1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
175,1034171,DOLLAR GENERAL #15492 (SOUTHPORT),1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
176,1034172,SANDHILLS SHRIMP COMPANY,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
177,1034173,PANCARE COMMUNITY HEALTH CENTER,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
178,1070008,AIRPORT MOTEL,1,BLOUNTSTOWN,B,2.0,DISINFECT/HYPOCHLORIN
179,1070014,"ALTHA, TOWN OF WATER SYSTEM",1,ALTHA-WELLS 1 &2,B,2.0,DISINFECT/HYPOCHLORIN
180,1070014,"ALTHA, TOWN OF WATER SYSTEM",2,ALTHA WELL 3,B,2.0,DISINFECT/HYPOCHLORIN
181,1070095,BURGER SHAKE RESTAURANT,1,BLOUNTSTOWN,B,2.0,DISINFECT/HYPOCHLORIN
182,1070116,CARR  SCHOOL,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
183,1070584,SAM B. ATKINS PARK,1,SAM B. ATKINS,B,2.0,DISINFECT/HYPOCHLORIN
184,1070685,"BLOUNTSTOWN, CITY OF",1,PLANT #1,B,1.0,DISINFECT/GASEOUS CHLORIN
185,1070685,"BLOUNTSTOWN, CITY OF",1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
186,1070685,"BLOUNTSTOWN, CITY OF",1,PLANT #1,E,20.0,T-O CTRL/AERATION
187,1070685,"BLOUNTSTOWN, CITY OF",2,PLANT #2,B,1.0,DISINFECT/GASEOUS CHLORIN
188,1070685,"BLOUNTSTOWN, CITY OF",2,PLANT #2,B,2.0,DISINFECT/HYPOCHLORIN
189,1070685,"BLOUNTSTOWN, CITY OF",2,PLANT #2,E,20.0,T-O CTRL/AERATION
190,1070685,"BLOUNTSTOWN, CITY OF",3,PLANT #3,B,1.0,DISINFECT/GASEOUS CHLORIN
191,1070685,"BLOUNTSTOWN, CITY OF",3,PLANT #3,B,2.0,DISINFECT/HYPOCHLORIN
192,1070685,"BLOUNTSTOWN, CITY OF",3,PLANT #3,E,20.0,T-O CTRL/AERATION
193,1074000,DEPT. OF HEALTH & REHAB. SERV.,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
194,1074004,MJ'S DINER,1,VANEISSA'S FAMILY RESTAURANT,B,2.0,DISINFECT/HYPOCHLORIN
195,1074005,"OGLESBY PLANT LAB., INC.",1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
196,1074006,BLISS FAST FOODS,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
197,1074007,HIDDEN ACRES MHP,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
198,1074008,HIDDEN CREEK MOBILE HOME COMM.,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
199,1074008,HIDDEN CREEK MOBILE HOME COMM.,2,PLANT FOR WELL 2,B,1.0,DISINFECT/GASEOUS CHLORIN
200,1074009,SEMINOLE RESTAURANT,1,WELL NO. 1,B,2.0,DISINFECT/HYPOCHLORIN
201,1074010,FAIRCLOTH MOBILE HOME PARK,1,WELL #1,A,999.0,NO TRTMT
202,1074011,J. CARL'S ONE-STOP,1,WELL#1,A,999.0,NO TRTMT
203,1074012,FLOWERS GROCERY,1,WELL #1,A,999.0,NO TRTMT
204,1074013,WACO STORE #29  (QUICK STOP #12),1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
205,1074014,CALHOUN CTY. CAFE/CAL-CO FINA,1,WELL #1,A,999.0,NO TRTMT
206,1074015,SHELTON TRUCKING LLC,1,"SHELTON TRUCKING SERVICE,INC.",B,2.0,DISINFECT/HYPOCHLORIN
207,1074016,MINNIE LEE'S RESTAURANT,1,WELL NO. 1,B,1.0,DISINFECT/GASEOUS CHLORIN
208,1074017,BLOUNTSTOWN BUSINESS POINTE,1,WELL #1,B,2.0,DISINFECT/HYPOCHLORIN
209,1074018,HARTFORD FARMS INC.,1,WELL #1,A,999.0,NO TRTMT
210,1074019,SHELTON'S STORE,1,SHELTON'S STORE,A,999.0,NO TRTMT
211,1074019,SHELTON'S STORE,1,SHELTON'S STORE,B,2.0,DISINFECT/HYPOCHLORIN
212,1074020,APALACHEE RIVER BASIN AGR.PARK,1,WELL NO.1,B,2.0,DISINFECT/HYPOCHLORIN
213,1074021,KIDS' KINGDOM DAYCARE,1,CHLORINATION PLANT,B,2.0,DISINFECT/HYPOCHLORIN
214,1074033,MOE'S GAS AND DIESEL,1,PLANT #1,B,2.0,DISINFECT/HYPOCHLORIN
215,1074034,DOLLAR GENERAL - CLARKSVILLE - #20465,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
216,1170085,BRATT-DAVISVILLE WATER SYSTEM,1,PLANT 1 --HWY 99,B,2.0,DISINFECT/HYPOCHLORIN
217,1170085,BRATT-DAVISVILLE WATER SYSTEM,1,PLANT 1 --HWY 99,D,19.0,CORR-CTRL/PH ADJUSTMENT
218,1170085,BRATT-DAVISVILLE WATER SYSTEM,1,PLANT 1 --HWY 99,D,36.0,CORR-CTRL/CORROSION INHIB
219,1170085,BRATT-DAVISVILLE WATER SYSTEM,2,PLANT 2 PINVILLE AND JAKES,B,2.0,DISINFECT/HYPOCHLORIN
220,1170085,BRATT-DAVISVILLE WATER SYSTEM,2,PLANT 2 PINVILLE AND JAKES,D,19.0,CORR-CTRL/PH ADJUSTMENT
221,1170085,BRATT-DAVISVILLE WATER SYSTEM,2,PLANT 2 PINVILLE AND JAKES,D,36.0,CORR-CTRL/CORROSION INHIB
222,1170085,BRATT-DAVISVILLE WATER SYSTEM,3,PLANT 3 --STEEL ROAD,B,1.0,DISINFECT/GASEOUS CHLORIN
223,1170085,BRATT-DAVISVILLE WATER SYSTEM,3,PLANT 3 --STEEL ROAD,D,19.0,CORR-CTRL/PH ADJUSTMENT
224,1170085,BRATT-DAVISVILLE WATER SYSTEM,3,PLANT 3 --STEEL ROAD,D,36.0,CORR-CTRL/CORROSION INHIB
225,1170126,CENTRAL WATER WORKS,1,PLANT 1,B,2.0,DISINFECT/HYPOCHLORIN
226,1170126,CENTRAL WATER WORKS,1,PLANT 1,D,19.0,CORR-CTRL/PH ADJUSTMENT
227,1170126,CENTRAL WATER WORKS,2,PLANT 2,B,2.0,DISINFECT/HYPOCHLORIN
228,1170126,CENTRAL WATER WORKS,2,PLANT 2,D,19.0,CORR-CTRL/PH ADJUSTMENT
229,1170126,CENTRAL WATER WORKS,3,PLANT 3 -KILLAM ROAD,B,2.0,DISINFECT/HYPOCHLORIN
230,1170126,CENTRAL WATER WORKS,3,PLANT 3 -KILLAM ROAD,D,19.0,CORR-CTRL/PH ADJUSTMENT
231,1170126,CENTRAL WATER WORKS,4,PLANT 4,B,2.0,DISINFECT/HYPOCHLORIN
232,1170126,CENTRAL WATER WORKS,4,PLANT 4,Z,19.0,OTHER/PH ADJUSTMENT
233,1170168,COTTAGE HILL WATER WORKS,1,PLANT FOR WELL 1 (REMOVED),B,2.0,DISINFECT/HYPOCHLORIN
234,1170168,COTTAGE HILL WATER WORKS,1,PLANT FOR WELL 1 (REMOVED),Z,19.0,OTHER/PH ADJUSTMENT
235,1170168,COTTAGE HILL WATER WORKS,2,PLANT FOR WELL 2 (ABANDONED),B,1.0,DISINFECT/GASEOUS CHLORIN
236,1170168,COTTAGE HILL WATER WORKS,2,PLANT FOR WELL 2 (ABANDONED),Z,19.0,OTHER/PH ADJUSTMENT
237,1170168,COTTAGE HILL WATER WORKS,3,PLANT FOR WELL 1 & 3 - OFFICE,B,2.0,DISINFECT/HYPOCHLORIN
238,1170168,COTTAGE HILL WATER WORKS,3,PLANT FOR WELL 1 & 3 - OFFICE,Z,19.0,OTHER/PH ADJUSTMENT
239,1170168,COTTAGE HILL WATER WORKS,4,PLANT FOR WELL 4 - STACY ROAD,B,1.0,DISINFECT/GASEOUS CHLORIN
