,PWS ID,PWS Name,Status,County,Population Served,Fluoride Product,Fluoridated,Water Source,year
57,FL-1302006,TEEN CHALLENGE WEST FLORIDA,Non-Adjusted,Holmes (Primary),69,Natural                       ,No,Ground,2019
58,FL-1304033,"WESTVILLE, TOWN OF",Non-Adjusted,Holmes (Primary),266,Natural                       ,No,Ground,2019
59,FL-1304034,"PONCE DE LEON, TOWN OF",Non-Adjusted,Holmes (Primary),760,Natural                       ,No,Ground,2019
60,FL-1320011,TOWN OF ALFORD,Non-Adjusted,Jackson (Primary),447,Natural                       ,No,Ground,2019
61,FL-1320025,APALACHEE CORRECTIONAL INST.,Non-Adjusted,Jackson (Primary),2038,Natural                       ,No,Ground,2019
62,FL-1320111,CAMPBELLTON WATER DEPARTMENT,Non-Adjusted,Jackson (Primary),207,Natural                       ,No,Ground,2019
63,FL-1320143,COTTONDALE WATER SYSTEM,Non-Adjusted,Jackson (Primary),849,Natural                       ,No,Ground,2019
64,FL-1320145,"GRACEVILLE, CITY OF",Non-Adjusted,Jackson (Primary),3577,Natural                       ,No,Ground,2019
65,FL-1320311,GREENWOOD WATER SYSTEM,Non-Adjusted,Jackson (Primary),796,Natural                       ,No,Ground,2019
66,FL-1320440,"MALONE, TOWN OF WATER SYSTEM",Non-Adjusted,Jackson (Primary),505,Natural                       ,No,Ground,2019
67,FL-1320449,"MARIANNA, CITY OF",Non-Adjusted,Jackson (Primary),5456,Natural                       ,No,Ground,2019
68,FL-1320686,"GRAND RIDGE, TOWN OF",Non-Adjusted,Jackson (Primary),873,Natural                       ,No,Ground,2019
69,FL-1320689,"SNEADS, TOWN OF WATER SYSTEM",Non-Adjusted,Jackson (Primary),1717,Natural                       ,No,Ground,2019
70,FL-1320879,QUIET HAVEN TRAILER PARK,Non-Adjusted,Jackson (Primary),59,Natural                       ,No,Ground,2019
71,FL-1324031,"JACOB, CITY OF",Non-Adjusted,Jackson (Primary),266,Natural                       ,No,Ground,2019
72,FL-1324064,BLUE SPRINGS MHP (AKA SPRINGSIDE),Non-Adjusted,Jackson (Primary),45,Natural                       ,No,Ground,2019
73,FL-1324074,JACKSON CORRECTIONAL INSTITUTION,Non-Adjusted,Jackson (Primary),1817,Natural                       ,No,Ground,2019
74,FL-1324098,JACKSON CO. UTILITIES (PILOT),Non-Adjusted,Jackson (Primary),581,Natural                       ,No,Ground,2019
75,FL-1330374,CROSS LANDINGS HEALTH/REHAB,Non-Adjusted,Jefferson (Primary),71,Natural                       ,No,Ground,2019
76,FL-1330478,"MONTICELLO, CITY OF",Non-Adjusted,Jefferson (Primary),4025,Natural                       ,No,Ground,2019
77,FL-1330748,JEFFERSON COMMUNITIES WATER SYSTEM,Non-Adjusted,Jefferson (Primary),2034,Natural                       ,No,Ground,2019
78,FL-1330754,LAMONT,Non-Adjusted,Jefferson (Primary),216,Natural                       ,No,Ground,2019
79,FL-1370023,ANNAWOOD SUBDIVISION,Non-Adjusted,Leon (Primary),103,Natural                       ,No,Ground,2019
80,FL-1370077,BLOUNT'S LANDING WATER SYSTEM,Non-Adjusted,Leon (Primary),260,Natural                       ,No,Ground,2019
81,FL-1370096,BURGESS CIRCLE SUBDIVISION,Non-Adjusted,Leon (Primary),63,Natural                       ,No,Ground,2019
82,FL-1370288,TWIN LAKES MOBILE HOME PARK,Non-Adjusted,Leon (Primary),156,Natural                       ,No,Ground,2019
83,FL-1370353,LEON CO. REGIONAL SYSTEM EAST,Non-Adjusted,Leon (Primary),1479,Natural                       ,No,Ground,2019
84,FL-1370393,BRADFORDVILLE REGIONAL W/S,Non-Adjusted,Leon (Primary),10437,Natural                       ,No,Ground,2019
85,FL-1370403,LAKE TALQUIN WATER COMPANY,Non-Adjusted,Leon (Primary),148,Natural                       ,No,Ground,2019
86,FL-1370419,EAGLE'S NEST MHP,Non-Adjusted,Leon (Primary),29,Natural                       ,No,Ground,2019
87,FL-1370461,MEADOW HILLS S/D WATER SYSTEM,Non-Adjusted,Leon (Primary),235,Natural                       ,No,Ground,2019
88,FL-1370463,MERIDIAN HILLS WATER SYSTEM,Non-Adjusted,Leon (Primary),209,Natural                       ,No,Ground,2019
89,FL-1370598,SEDGEFIELD SUBDIVISION,Non-Adjusted,Leon (Primary),235,Natural                       ,No,Ground,2019
90,FL-1370616,GRAND VILLAGE MHP WEST (MARCUS MEADOWS),Non-Adjusted,Leon (Primary),113,Natural                       ,No,Ground,2019
91,FL-1370617,LEON CO. REGIONAL SYSTEM SOUTH,Non-Adjusted,Leon (Primary),682,Natural                       ,No,Ground,2019
92,FL-1370640,STONEGATE SUBDIVISION,Non-Adjusted,Leon (Primary),63,Natural                       ,No,Ground,2019
93,FL-1370655,"TALLAHASSEE, CITY OF",Adjusted,Leon (Primary),173396,H2SiF6,Yes,Ground,2019
94,FL-1370669,MEADOWS-AT-WOODRUN,Non-Adjusted,Leon (Primary),3170,Natural                       ,No,Ground,2019
95,FL-1370745,LEON CO. REGIONAL SYSTEM WEST,Non-Adjusted,Leon (Primary),1812,Natural                       ,No,Ground,2019
96,FL-1370791,LAKE BRADFORD MOBILE HOME EST.,Non-Adjusted,Leon (Primary),149,Natural                       ,No,Ground,2019
97,FL-1370888,LAKE JACKSON AREA WATER SYSTEM,Non-Adjusted,Leon (Primary),8766,Natural                       ,No,Ground,2019
98,FL-1370898,BREWSTER SUBDIVISION,Non-Adjusted,Leon (Primary),325,Natural                       ,No,Ground,2019
99,FL-1374008,BUCK LAKE ESTATES WATER SYSTEM,Non-Adjusted,Leon (Primary),134,Natural                       ,No,Ground,2019
100,FL-1374049,NORTH LAKE MEADOW WATER SYSTEM,Non-Adjusted,Leon (Primary),179,Natural                       ,No,Ground,2019
101,FL-1374054,PLANTATION ESTATES,Non-Adjusted,Leon (Primary),330,Natural                       ,No,Ground,2019
102,FL-1374072,DOGWOOD MHP,Non-Adjusted,Leon (Primary),27,Natural                       ,No,Ground,2019
103,FL-1374104,GRAND VILLAGE MHP (MARCUS MEADOWS EAST),Non-Adjusted,Leon (Primary),25,Natural                       ,No,Ground,2019
104,FL-1390087,"BRISTOL, CITY OF WATER SYSTEM",Non-Adjusted,Liberty (Primary),1747,Natural                       ,No,Ground,2019
105,FL-1390651,SWEETWATER WATER SYSTEM,Non-Adjusted,Liberty (Primary),58,Natural                       ,No,Ground,2019
106,FL-1390901,"HOSFORD,TOWN OF WATER SYSTEM",Non-Adjusted,Liberty (Primary),1153,Natural                       ,No,Ground,2019
107,FL-1394001,LIBERTY CORRECTIONAL INSTITUTION,Non-Adjusted,Liberty (Primary),1444,Natural                       ,No,Ground,2019
108,FL-1394003,SUMATRA,Non-Adjusted,Liberty (Primary),146,Natural                       ,No,Ground,2019
109,FL-1394006,ESTIFFANULGA,Non-Adjusted,Liberty (Primary),251,Natural                       ,No,Ground,2019
110,FL-1394009,LAKE MYSTIC WATER SYSTEM,Non-Adjusted,Liberty (Primary),281,Natural                       ,No,Ground,2019
111,FL-1394012,ROCK BLUFF WATER SYSTEM,Non-Adjusted,Liberty (Primary),148,Natural                       ,No,Ground,2019
112,FL-1460035,AUBURN WATER SYSTEM,Non-Adjusted,Okaloosa (Primary),22661,Natural                       ,No,Ground,2019
113,FL-1460043,"BAKER WATER SYSTEM, INC.",Non-Adjusted,Okaloosa (Primary),2255,Natural                       ,No,Ground,2019
114,FL-1460144,"FORT WALTON BEACH, CITY OF",Natural,Okaloosa (Primary),21560,Natural                       ,Yes,Ground,2019
115,FL-1460147,"NICEVILLE, CITY OF",Adjusted,Okaloosa (Primary),18162,H2SiF6,Yes,Ground,2019
116,FL-1460149,"VALPARAISO, CITY OF",Non-Adjusted,Okaloosa (Primary),4044,Natural                       ,No,Ground,2019
117,FL-1460182,"CRESTVIEW, CITY OF WATER DEPT.",Non-Adjusted,Okaloosa (Primary),28888,Natural                       ,No,Ground,2019
118,FL-1460202,"DESTIN WATER USERS, INC.",Natural,Okaloosa (Primary),27233,Natural                       ,Yes,Ground,2019
119,FL-1460352,"HOLT WATER WORKS, INC.",Non-Adjusted,Okaloosa (Primary),2720,Natural                       ,No,Ground,2019
120,FL-1460416,"LAUREL HILL, CITY OF",Non-Adjusted,Okaloosa (Primary),1896,Natural                       ,No,Ground,2019
121,FL-1460455,"MARY ESTHER, TOWN OF",Natural,Okaloosa (Primary),3532,Natural                       ,Yes,Ground,2019
122,FL-1460472,"MILLIGAN WATER SYSTEM, INC.",Non-Adjusted,Okaloosa (Primary),2191,Natural                       ,No,Ground,2019
123,FL-1460506,OKALOOSA CO.WTR.& SWR.SYSTEM,Natural,Okaloosa (Primary),68137,Natural                       ,Yes,Ground,2019
124,FL-1460775,BLUEWATER BAY-RAINTREE DEVLPM.,Non-Adjusted,Okaloosa (Primary),12303,Natural                       ,No,Ground,2019
125,FL-1460782,HURLBURT FIELD AFB WATER SYS.,Natural,Okaloosa (Primary),9485,Natural                       ,Yes,Ground,2019
126,FL-1460826,EGLIN MAIN BASE,Natural,Okaloosa (Primary),3728,Natural                       ,Yes,Ground,2019
127,FL-1460828,EGLIN HOUSING,Natural,Okaloosa (Primary),3129,Natural                       ,Yes,Ground,2019
128,FL-1460830,EGLIN AUX. 6,Non-Adjusted,Okaloosa (Primary),112,Natural                       ,No,Ground,2019
129,FL-1464034,OKALOOSA CORRECTIONAL INST.,Non-Adjusted,Okaloosa (Primary),1609,Natural                       ,No,Ground,2019
130,FL-1464044,MID OKALOOSA CO. WATER SYSTEM,Non-Adjusted,Okaloosa (Primary),6527,Natural                       ,No,Ground,2019
131,FL-1570042,BAGDAD-GARCON POINT WATER SYSTEM,Non-Adjusted,Santa Rosa (Primary),7354,Natural                       ,No,Ground,2019
132,FL-1570064,BERRYDALE WATER SYSTEM,Non-Adjusted,Santa Rosa (Primary),2845,Natural                       ,No,Ground,2019
133,FL-1570140,"CHUMUCKLA WATER SYSTEM, INC.",Non-Adjusted,Santa Rosa (Primary),3483,Natural                       ,No,Ground,2019
134,FL-1570146,"MILTON, CITY OF WATER SYSTEM",Non-Adjusted,Santa Rosa (Primary),18992,Natural                       ,No,Ground,2019
135,FL-1570232,EAST MILTON WATER SYSTEM,Non-Adjusted,Santa Rosa (Primary),10799,Natural                       ,No,Ground,2019
136,FL-1570316,GULF BREEZE WATER DEPARTMENT,Consecutive,Santa Rosa (Primary),5309,Natural                       ,Yes,Ground,2019
137,FL-1570349,HOLLEY-NAVARRE WATER SYSTEM,Natural,Santa Rosa (Primary),37166,Natural                       ,Yes,Ground,2019
138,FL-1570384,"JAY, CITY OF UTILITIES DEPT.",Non-Adjusted,Santa Rosa (Primary),1640,Natural                       ,No,Ground,2019
139,FL-1570470,"MIDWAY WATER SYSTEM, INC.",Natural,Santa Rosa (Primary),15035,Natural                       ,Yes,Ground,2019
140,FL-1570479,MOORE CREEK-MT. CARMEL UTIL.,Non-Adjusted,Santa Rosa (Primary),3822,Natural                       ,No,Ground,2019
141,FL-1570489,N.A.S. WHITING FIELD (USN),Natural,Santa Rosa (Primary),2755,Natural                       ,Yes,Ground,2019
142,FL-1570540,"POINT BAKER WATER SYSTEM, INC.",Non-Adjusted,Santa Rosa (Primary),8141,Natural                       ,No,Ground,2019
143,FL-1570593,SOUTH SANTA ROSA UTILITIES,Consecutive,Santa Rosa (Primary),9676,Natural                       ,Yes,Ground,2019
144,FL-1570671,"PACE WATER SYSTEM, INC.",Non-Adjusted,Santa Rosa (Primary),36749,Natural                       ,No,Ground,2019
145,FL-1570874,NAVARRE BEACH WATER SYSTEM,Natural,Santa Rosa (Primary),5047,Natural                       ,Yes,Ground,2019
146,FL-1650514,PANACEA AREA WATER SYSTEM,Non-Adjusted,Wakulla (Primary),2482,Natural                       ,No,Ground,2019
147,FL-1650612,"SOPCHOPPY, CITY OF",Non-Adjusted,Wakulla (Primary),7648,Natural                       ,No,Ground,2019
148,FL-1650630,"ST. MARKS, CITY OF WATER SYS.",Consecutive,Wakulla (Primary),575,H2SiF6,Yes,Ground,2019
149,FL-1650778,MYSTERIOUS WATERS SUBDIVISION,Non-Adjusted,Wakulla (Primary),174,Natural                       ,No,Ground,2019
150,FL-1650785,WAKULLA REGIONAL-(AKA GULF COAST),Non-Adjusted,Wakulla (Primary),5876,Natural                       ,No,Ground,2019
151,FL-1650791,WINCO UTILITIES W/S,Non-Adjusted,Wakulla (Primary),3170,Natural                       ,No,Ground,2019
152,FL-1650792,WAKULLA WATER SYSTEM,Non-Adjusted,Wakulla (Primary),309,Natural                       ,No,Ground,2019
153,FL-1660028,"ARGYLE WATER SYSTEM, INC.",Non-Adjusted,Walton (Primary),1014,Natural                       ,No,Ground,2019
154,FL-1660196,"DEFUNIAK SPRINGS, CITY OF W/S",Non-Adjusted,Walton (Primary),10947,Natural                       ,No,Ground,2019
155,FL-1660290,"FREEPORT, CITY OF",Non-Adjusted,Walton (Primary),8550,Natural                       ,No,Ground,2019
156,FL-1660370,"INLET BEACH WATER SYSTEM, INC.",Consecutive,Walton (Primary),2338,Natural                       ,No,Ground,2019
157,FL-1660407,LAKE SHARON ESTATES,Non-Adjusted,Walton (Primary),156,Natural                       ,No,Ground,2019
158,FL-1660524,"PAXTON, TOWN OF",Non-Adjusted,Walton (Primary),1981,Natural                       ,No,Ground,2019
159,FL-1660596,REGIONAL UTILITIES WATER SYSTEM,Consecutive,Walton (Primary),40149,Natural                       ,No,Ground,2019
160,FL-1660615,SOUTH WALTON UTILITY COMPANY,Non-Adjusted,Walton (Primary),21195,Natural                       ,No,Ground,2019
161,FL-1660803,"MOSSY HEAD, TOWN OF",Non-Adjusted,Walton (Primary),3139,Natural                       ,No,Ground,2019
162,FL-1664019,NORTHBAY WATER SYSTEM,Non-Adjusted,Walton (Primary),2851,Natural                       ,No,Ground,2019
163,FL-1670119,"CARYVILLE, TOWN OF",Non-Adjusted,Washington (Primary),392,Natural                       ,No,Ground,2019
164,FL-1670135,"CHIPLEY, CITY OF",Non-Adjusted,Washington (Primary),3474,Natural                       ,No,Ground,2019
165,FL-1670647,SUNNY HILLS UTILITIES,Non-Adjusted,Washington (Primary),1486,Natural                       ,No,Ground,2019
166,FL-1670710,"VERNON, CITY OF",Non-Adjusted,Washington (Primary),671,Natural                       ,No,Ground,2019
167,FL-1670721,"WAUSAU, TOWN OF",Non-Adjusted,Washington (Primary),492,Natural                       ,No,Ground,2019
168,FL-1670733,NORTHWEST FLORIDA RECEPTION CENTER,Non-Adjusted,Washington (Primary),2414,Natural                       ,No,Ground,2019
169,FL-2010017,ALACHUA WTP,Adjusted,Alachua (Primary),7350,NaF,Yes,Ground,2019
170,FL-2010041,ARREDONDO ESTATES,Non-Adjusted,Alachua (Primary),660,Natural                       ,No,Ground,2019
171,FL-2010042,ARREDONDO FARMS,Non-Adjusted,Alachua (Primary),976,Natural                       ,No,Ground,2019
172,FL-2010199,ARCHER W.T.P.,Non-Adjusted,Alachua (Primary),1288,Natural                       ,No,Ground,2019
173,FL-2010201,HIGH SPRINGS WTP,Non-Adjusted,Alachua (Primary),5181,Natural                       ,No,Ground,2019
174,FL-2010207,NEWBERRY WTP,Non-Adjusted,Alachua (Primary),3474,Natural                       ,No,Ground,2019
175,FL-2010212,WALDO WTP,Non-Adjusted,Alachua (Primary),932,Natural                       ,No,Ground,2019
176,FL-2010477,HAWTHORNE WTP,Non-Adjusted,Alachua (Primary),2034,Natural                       ,No,Ground,2019
177,FL-2010612,KINCAID HILLS WATER SYSTEM,Non-Adjusted,Alachua (Primary),715,Natural                       ,No,Ground,2019
178,FL-2010625,LAKE ALTO ESTATES WATER SYSTEM,Non-Adjusted,Alachua (Primary),291,Natural                       ,No,Ground,2019
179,FL-2010749,MICANOPY WTP,Non-Adjusted,Alachua (Primary),541,Natural                       ,No,Ground,2019
180,FL-2010946,GRU - MURPHEE WTP,Adjusted,Alachua (Primary),170421,H2SiF6,Yes,Ground,2019
181,FL-2011006,SANTA FE HILLS SUBDIVISION,Non-Adjusted,Alachua (Primary),179,Natural                       ,No,Ground,2019
182,FL-2011251,WESTGATE MANOR MHP,Non-Adjusted,Alachua (Primary),268,Natural                       ,No,Ground,2019
183,FL-2014196,CROSS CREEK MHP,Non-Adjusted,Alachua (Primary),139,Natural                       ,No,Ground,2019
184,FL-2020204,MACCLENNY WTP,Natural,Baker (Primary),5714,Natural                       ,Yes,Ground,2019
185,FL-2020815,NORTHEAST FLORIDA STATE HOSPITAL,Non-Adjusted,Baker (Primary),1609,Natural                       ,No,Ground,2019
186,FL-2021356,BAKER CO. C. I.,Non-Adjusted,Baker (Primary),1341,Natural                       ,No,Ground,2019
187,FL-2024893,MCCORMICK'S TRAILER PARK,Non-Adjusted,Baker (Primary),22,Natural                       ,No,Ground,2019
188,FL-2024902,GLEN ST. MARY WATER SYSTEM,Non-Adjusted,Baker (Primary),383,Natural                       ,No,Ground,2019
189,FL-2040113,BROOKER WATER DEPARTMENT,Non-Adjusted,Bradford (Primary),626,Natural                       ,No,Ground,2019
190,FL-2040211,"STARKE, CITY OF",Adjusted,Bradford (Primary),6058,H2SiF6,Yes,Ground,2019
191,FL-2040372,FLORIDA STATE PRISON,Non-Adjusted,Bradford (Primary),6706,Natural                       ,No,Ground,2019
192,FL-2040456,HAMPTON WATER SYSTEM,Non-Adjusted,Bradford (Primary),444,Natural                       ,No,Ground,2019
193,FL-2040648,CITY OF LAWTEY,Natural,Bradford (Primary),1654,Natural                       ,Yes,Ground,2019
194,FL-2040843,OLIN'S MOBILE HOME PARK,Non-Adjusted,Bradford (Primary),36,Natural                       ,No,Ground,2019
195,FL-2041320,GENEVA LAKE ESTATES,Non-Adjusted,Bradford (Primary),457,Natural                       ,No,Ground,2019
196,FL-2100437,GREEN COVE SPRINGS WS,Non-Adjusted,Clay (Primary),6177,Natural                       ,No,Ground,2019
197,FL-2100610,KEYSTONE HEIGHTS WTP,Non-Adjusted,Clay (Primary),5593,Natural                       ,No,Ground,2019
198,FL-2100626,LAKE ASBURY WATER SYSTEM,Non-Adjusted,Clay (Primary),9204,Natural                       ,No,Ground,2019
199,FL-2100636,LAKE GENEVA MHP,Non-Adjusted,Clay (Primary),85,Natural                       ,No,Ground,2019
200,FL-2100709,ST JOHNS LANDING,Non-Adjusted,Clay (Primary),1048,Natural                       ,No,Ground,2019
201,FL-2100741,ORANGE PARK GRID,Non-Adjusted,Clay (Primary),106126,Natural                       ,No,Ground,2019
202,FL-2100882,PENNEY RETIREMENT COMMUNITY,Non-Adjusted,Clay (Primary),402,Natural                       ,No,Ground,2019
203,FL-2101019,PENNEY FARMS WTP,Non-Adjusted,Clay (Primary),434,Natural                       ,No,Ground,2019
204,FL-2101182,ORANGE PARK WATER PLANT,Non-Adjusted,Clay (Primary),7716,Natural                       ,No,Ground,2019
205,FL-2104332,RAVINES WTP,Non-Adjusted,Clay (Primary),2998,Natural                       ,No,Ground,2019
206,FL-2104345,MIDDLEBURG BLUFF APARTMENTS,Non-Adjusted,Clay (Primary),85,Natural                       ,No,Ground,2019
207,FL-2104351,PIER STATION WTP,Non-Adjusted,Clay (Primary),173,Natural                       ,No,Ground,2019
208,FL-2104391,PACE/FLEMING GRID,Non-Adjusted,Clay (Primary),34430,Natural                       ,No,Ground,2019
209,FL-2104448,PETER'S CREEK WTP,Non-Adjusted,Clay (Primary),207,Natural                       ,No,Ground,2019
210,FL-2120043,CANNON CREEK MHP,Non-Adjusted,Columbia (Primary),72,Natural                       ,No,Ground,2019
211,FL-2120047,AZALEA PARK SUBDIVISON,Non-Adjusted,Columbia (Primary),275,Natural                       ,No,Ground,2019
212,FL-2120224,COLLEGE MANOR,Non-Adjusted,Columbia (Primary),116,Natural                       ,No,Ground,2019
213,FL-2120630,LAKE CITY WTP,Non-Adjusted,Columbia (Primary),15893,Natural                       ,No,Ground,2019
214,FL-2120921,QUAIL HEIGHTS COUNTRY CLUB,Non-Adjusted,Columbia (Primary),102,Natural                       ,No,Ground,2019
215,FL-2121023,SHADY OAKS SUBDIVISION,Non-Adjusted,Columbia (Primary),284,Natural                       ,No,Ground,2019
216,FL-2121366,SUWANNEE VALLEY ESTATES,Non-Adjusted,Columbia (Primary),56,Natural                       ,No,Ground,2019
217,FL-2124284,WOODGATE VILLAGE,Non-Adjusted,Columbia (Primary),311,Natural                       ,No,Ground,2019
218,FL-2124285,COOL BREEZE MHP,Non-Adjusted,Columbia (Primary),65,Natural                       ,No,Ground,2019
219,FL-2124287,COUNTRY DALE ESTATES,Non-Adjusted,Columbia (Primary),63,Natural                       ,No,Ground,2019
